,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,total_case_count,total_probable_case_count,total_hospitalized_count,total_death_count,total_probable_death_count,total_case_count_7day_avg,total_all_case_count_7day_avg,total_hospitalized_count_7day_avg,total_death_count_7day_avg,total_all_death_count_7day_avg,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,pre_k_schools,elementary_schools,middle_schools,high_schools,construction,offices,phase_1,restaurants,outdoor_dining,phase_2,phase_3,phase_4,large_capacity_public,gatherings,broadway,movies,stadium_capcity,indoor_religious,curfew
1828,214,6,30,4,0,1,4,4,1,0,0,3,1,189,12,27,6,1,254,271,33,6,6,7,1,2,0,0,16,17,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,214,6,30,4,1,2700,3368,5213,5274,1230,2565,4167,3114,189,12,27,6,1,254,271,33,6,6,7,1,2,0,0,16,17,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,215,0,31,0,0,174,365,422,352,24,43,56,57,135,10,32,2,0,253,270,34,5,6,30,4,5,0,0,54,57,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,215,0,31,0,1,33101,25600,41474,42998,27949,17556,32818,38225,135,10,32,2,0,253,270,34,5,6,30,4,5,0,0,54,57,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,215,0,31,1,0,2830,1110,2309,2445,147,89,235,171,135,10,32,2,0,253,270,34,5,6,38,4,9,2,0,76,82,13,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1833,215,0,31,1,1,84348,56626,100203,98438,46795,32796,64749,63534,135,10,32,2,0,253,270,34,5,6,38,4,9,2,0,76,82,13,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1834,215,0,31,2,0,37051,30276,63527,55900,1763,3656,9381,5663,135,10,32,2,0,253,270,34,5,6,26,0,3,0,0,48,51,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,215,0,31,2,1,94745,72041,135535,124394,35625,27644,59629,56210,135,10,32,2,0,253,270,34,5,6,26,0,3,0,0,48,51,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1836,215,0,31,3,0,1494,841,1258,1505,100,58,182,167,135,10,32,2,0,253,270,34,5,6,33,2,11,0,0,61,64,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1837,215,0,31,3,1,47631,37922,56654,53004,22863,19275,33655,32683,135,10,32,2,0,253,270,34,5,6,33,2,11,0,0,61,64,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,215,0,31,4,0,5,0,0,0,0,0,0,2,135,10,32,2,0,253,270,34,5,6,8,0,4,0,0,15,16,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
