,day_year,day_week,week,borough,fhv,2019_night,2019_morn,2019_arvo,2019_even,2020_night,2020_morn,2020_arvo,2020_even,borough_case_count,borough_probable_case_count,borough_hospitalized_count,borough_death_count,borough_probable_death_count,borough_case_count_7day_avg,borough_all_case_count_7day_avg,borough_hospitalized_count_7day_avg,borough_death_count_7day_avg,borough_all_death_count_7day_avg,stadium_capcity,restaurants,high_schools,indoor_religious,phase_1
1762,208,0,30,1,0,2.0804451437739013,1.983319792926584,2.059629576468295,2.0606755565159958,1.5607042729746456,1.5182757199460604,1.6304056399335578,1.672952691374451,1.3119942346184028,0.5831980807826592,0.874591382923689,0.0940478276166991,0.0,1.520543522634296,1.5314704927383054,0.9102350933653259,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1763,208,0,30,1,1,2.423436159347701,2.386989219161,2.440202004563649,2.436286164447287,2.3708633609099135,2.3468968501692347,2.4109327718242852,2.4059422353377395,1.3119942346184028,0.5831980807826592,0.874591382923689,0.0940478276166991,0.0,1.520543522634296,1.5314704927383054,0.9102350933653259,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1764,208,0,30,2,0,2.3605624204323634,2.3355780203623637,2.4071570077663145,2.395585868558158,1.9847527311974318,2.0969721095892506,2.194724254239223,2.1472191866896684,1.260266326229238,0.47588499532711054,0.0,0.0940478276166991,0.0,1.4465648595477707,1.4563938230443614,0.5831980807826592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765,208,0,30,2,1,2.4322498734801123,2.4102305833924493,2.467695050877617,2.461150686824385,2.348214808683062,2.336530820716814,2.4024118003755093,2.396628295988204,1.260266326229238,0.47588499532711054,0.0,0.0940478276166991,0.0,1.4465648595477707,1.4563938230443614,0.5831980807826592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1766,208,0,30,3,0,1.9977902780908838,1.9083122216781039,1.980007585168285,2.00131596992275,1.465736890326896,1.396999671219974,1.612887921665338,1.6231246605584686,1.3425100134968837,0.5831980807826592,1.0197814405382262,0.0,0.0,1.5136524718106426,1.5293379817722996,0.9102350933653259,0.32663425997828094,0.32663425997828094,0.0,0.0,0.0,0.0,0.0
1767,208,0,30,3,1,2.3689447429497847,2.35081881109101,2.3891878370831083,2.3819340212696645,2.3074187244313196,2.2963448990423587,2.3496175728888,2.342535408244253,1.3425100134968837,0.5831980807826592,1.0197814405382262,0.0,0.0,1.5136524718106426,1.5293379817722996,0.9102350933653259,0.32663425997828094,0.32663425997828094,0.0,0.0,0.0,0.0,0.0
1768,208,0,30,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940478276166991,1.0414115247747806,0.0,0.0,0.0,0.0,1.1562690064065475,1.1690321758870559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769,208,0,30,4,1,2.0584222030072694,2.060377691532022,2.1111394328617834,2.0828295592153765,1.9926549410904366,2.0148998926643227,2.0838014017254167,2.052024171698167,1.0414115247747806,0.0,0.0,0.0,0.0,1.1562690064065475,1.1690321758870559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770,209,1,30,0,0,1.4717169160496426,1.8272241149214201,1.816202993224072,1.7545323103616217,1.0799182995220822,1.3588769911382217,1.465736890326896,1.4136356249281932,1.5159789342503565,0.0940478276166991,0.9102350933653259,0.0,0.0,1.465736890326896,1.4803421887365897,0.7871950081766445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771,209,1,30,0,1,2.2609924981911775,2.351541620854153,2.343128299056087,2.3377251436907933,2.2726324226777344,2.3186589001065974,2.3463679328503155,2.340462322437719,1.5159789342503565,0.0940478276166991,0.9102350933653259,0.0,0.0,1.465736890326896,1.4803421887365897,0.7871950081766445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772,209,1,30,1,0,1.8496890535158976,2.015194509602257,2.0384618522002325,2.105169197908218,1.2839620094543296,1.557077128137304,1.7270462672679818,1.6835235388561318,1.4912513280732116,0.874591382923689,0.874591382923689,0.0940478276166991,0.0,1.50648771329857,1.520543522634296,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1773,209,1,30,1,1,2.3230948431029272,2.405308652798773,2.407786069194775,2.41983695576467,2.3002934383990197,2.373522007901978,2.403950559089445,2.3904553539205704,1.4912513280732116,0.874591382923689,0.874591382923689,0.0940478276166991,0.0,1.50648771329857,1.520543522634296,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1774,209,1,30,2,0,2.201346819538661,2.409656850839078,2.4210578650281387,2.4266970294172965,1.8472133211112478,2.220305089236174,2.2529265730181414,2.180005288588069,1.4775113193551406,0.47588499532711054,0.47588499532711054,0.0,0.0,1.4465648595477707,1.4563938230443614,0.47588499532711054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,209,1,30,2,1,2.322645404545296,2.4445230699805305,2.4512128020116823,2.4656542816898757,2.26083588410212,2.3857065828062174,2.400386952246733,2.3822309809302396,1.4775113193551406,0.47588499532711054,0.47588499532711054,0.0,0.0,1.4465648595477707,1.4563938230443614,0.47588499532711054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776,209,1,30,3,0,1.8199744235075084,1.9425255807816322,1.974036350814528,2.015268048678701,1.2913203187398075,1.572832342456985,1.6885533075517642,1.6738612006698723,1.5457199360997627,0.834032445247956,0.6657298105782764,0.0,0.0,1.5040351003996315,1.520543522634296,0.9102350933653259,0.0940478276166991,0.32663425997828094,0.0,0.0,0.0,0.0,0.0
1777,209,1,30,3,1,2.2830097724657366,2.3720102863110415,2.3678813749920766,2.363920684813484,2.242277557956412,2.329483504967543,2.3526960919937197,2.329149754754869,1.5457199360997627,0.834032445247956,0.6657298105782764,0.0,0.0,1.5040351003996315,1.520543522634296,0.9102350933653259,0.0940478276166991,0.32663425997828094,0.0,0.0,0.0,0.0,0.0
1778,209,1,30,4,0,0.0,0.32663425997828094,0.32663425997828094,0.0,0.0,0.0,0.0,0.0,1.242924991852436,0.0,0.0940478276166991,0.0,0.0,1.1562690064065475,1.1562690064065475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779,209,1,30,4,1,1.93508207881719,2.109812628457904,2.1229337674485484,2.078601479939456,1.9024000755409238,2.0605763554095526,2.0981107413841245,2.0388226987311757,1.242924991852436,0.0,0.0940478276166991,0.0,0.0,1.1562690064065475,1.1562690064065475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780,210,2,30,0,0,1.5015489517809617,1.8371345107474775,1.8400906899933476,1.7984461817988566,0.9419387347481111,1.392612283633577,1.5136524718106426,1.3740303948169557,1.4498980416116356,0.0940478276166991,0.47588499532711054,0.0,0.0,1.465736890326896,1.4803421887365897,0.7320993680864453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781,210,2,30,0,1,2.2408646215766947,2.3519880660413683,2.347759474773741,2.3461454415761134,2.242277557956412,2.325142766012333,2.3618755030276164,2.349338820734435,1.4498980416116356,0.0940478276166991,0.47588499532711054,0.0,0.0,1.465736890326896,1.4803421887365897,0.7320993680864453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782,210,2,30,1,0,1.866098164048597,2.0243877181009515,2.045471995936837,2.1301401228781387,1.142786806294772,1.5857192195601266,1.7198151588094999,1.710084571056691,1.4746366515748413,0.0,0.7871950081766445,0.0940478276166991,0.0,1.4964725796851872,1.511295614460169,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1783,210,2,30,1,1,2.303256947966718,2.409825314625368,2.414354048088447,2.429815463269635,2.279417198209598,2.375822396115288,2.4121790023151193,2.399508508381576,1.4746366515748413,0.0,0.7871950081766445,0.0940478276166991,0.0,1.4964725796851872,1.511295614460169,0.874591382923689,0.0,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1784,210,2,30,2,0,2.220922147850123,2.4252181399871757,2.4330845310179137,2.445318873202325,1.8362351021227996,2.2342836009310076,2.2704454350328587,2.198287309271397,1.4431723270012284,0.32663425997828094,0.0,0.0,0.0,1.4397184637016933,1.453173761903945,0.32663425997828094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1785,210,2,30,2,1,2.327877472516014,2.4547011237869154,2.4618032999679467,2.4766418275612407,2.2397155704204756,2.3913188767916074,2.4112008602007164,2.3971170847263514,1.4431723270012284,0.32663425997828094,0.0,0.0,0.0,1.4397184637016933,1.453173761903945,0.32663425997828094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1786,210,2,30,3,0,1.8158550349496865,1.969061042007532,1.9719439041025277,2.0355954598749184,1.1690321758870559,1.572832342456985,1.6673892921414593,1.6683301937789266,1.5271796258079011,0.5831980807826592,0.5831980807826592,0.0,0.0,1.4964725796851872,1.5136524718106426,0.834032445247956,0.0940478276166991,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
1787,210,2,30,3,1,2.2609142236212336,2.3737851892246726,2.370666506985216,2.37016183433781,2.21562313327663,2.329129487064841,2.356087521281025,2.334535397812274,1.5271796258079011,0.5831980807826592,0.5831980807826592,0.0,0.0,1.4964725796851872,1.5136524718106426,0.834032445247956,0.0940478276166991,0.0940478276166991,0.0,0.0,0.0,0.0,0.0
